fiscal_year,month,calendar_year,injured,killed,incidents,status,source_url,publish_date,pdf_created,source_file,method
2016,1,2017,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,2,2017,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2016,3,2017,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h28injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h28injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,4,2017,11,0,9,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,5,2017,15,1,15,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,6,2017,14,0,13,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,7,2017,14,0,13,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,8,2017,17,0,15,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,9,2017,11,0,11,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,10,2017,14,1,13,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,11,2017,9,0,8,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,12,2017,2,0,2,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,1,2018,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,2,2018,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2017,3,2018,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/h29injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h29injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,4,2018,8,0,8,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,5,2018,6,0,6,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,6,2018,7,0,7,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,7,2018,10,0,10,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,8,2018,6,0,6,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,9,2018,7,0,7,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,10,2018,6,0,6,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,11,2018,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,12,2018,3,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,1,2019,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,2,2019,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2018,3,2019,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/h30injury-qe.pdf,2025-06-14,2023-12-04,raw/env/h30injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,4,2019,7,0,6,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,5,2019,16,0,15,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,6,2019,9,0,8,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,7,2019,18,1,18,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,8,2019,10,0,10,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,9,2019,22,0,22,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,10,2019,37,0,33,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,11,2019,32,0,22,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,12,2019,6,0,6,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,1,2020,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,2,2020,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2019,3,2020,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r01injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r01injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,4,2020,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,5,2020,10,0,9,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,6,2020,8,0,8,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,7,2020,13,0,12,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,8,2020,29,0,27,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,9,2020,25,0,23,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,10,2020,46,2,39,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,11,2020,20,0,18,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,12,2020,3,0,3,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,1,2021,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,2,2021,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2020,3,2021,2,0,2,closed,https://www.env.go.jp/nature/choju/effort/effort12/r02injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r02injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,4,2021,4,1,4,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,5,2021,5,0,5,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,6,2021,13,0,10,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,7,2021,15,2,15,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,8,2021,12,0,11,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,9,2021,14,0,14,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,10,2021,12,1,11,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,11,2021,6,1,5,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,12,2021,4,0,3,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,1,2022,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,2,2022,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2021,3,2022,2,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/r03injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r03injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,4,2022,3,0,3,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,5,2022,12,1,11,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,6,2022,14,0,14,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,7,2022,13,1,12,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,8,2022,19,0,17,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,9,2022,7,0,7,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,10,2022,3,0,3,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,11,2022,3,0,3,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,12,2022,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,1,2023,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,2,2023,1,0,1,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2022,3,2023,0,0,0,closed,https://www.env.go.jp/nature/choju/effort/effort12/r04injury-qe.pdf,2025-06-14,2023-12-01,raw/env/r04injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2023,4,2023,5,0,4,closed,https://www.env.go.jp/nature/choju/effort/effort12/r05injury-qe.pdf,2025-06-14,2025-05-12,raw/env/r05injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2023,5,2023,17,1,17,closed,https://www.env.go.jp/nature/choju/effort/effort12/r05injury-qe.pdf,2025-06-14,2025-05-12,raw/env/r05injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2023,6,2023,17,0,16,closed,https://www.env.go.jp/nature/choju/effort/effort12/r05injury-qe.pdf,2025-06-14,2025-05-12,raw/env/r05injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2023,7,2023,17,0,17,closed,https://www.env.go.jp/nature/choju/effort/effort12/r05injury-qe.pdf,2025-06-14,2025-05-12,raw/env/r05injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
2023,8,2023,15,1,15,closed,https://www.env.go.jp/nature/choju/effort/effort12/r05injury-qe.pdf,2025-06-14,2025-05-12,raw/env/r05injury-qe.pdf,extract_env_go_jp.extract_injury_pdf (pdfplumber table)
